Question,Answer
"Harry, Kerr, Norville",Deborah
"Since 1851, it's helped people get where they're going",Travelers Aid
"Traditionally in drypoint, you use a steel needle to scratch your drawing into a plate of this metal",copper
"On radio, Jack Benny responded to this question from a robber with a long pause & ""I'm thinking""",Your money or your life?
"Completes the beat associated with rock pioneer Bo Diddley, ""shave and a haircut...""",two bits
"Opera fans said, ""Bravo!"" when ""Master Class"", a play about this diva, debuted in Philadelphia in 1995",Maria Callas
"Goldwyn, Adams, Beckett",Samuel
"The UN's WHO, World Health Org., deals with medicine; its WMO, short for this, deals with weather",World Meteorological Organization
"When a sculptor is doing this he isn't fishing, but using the lost wax method to make a mold",casting
This title of an 1882 short story refers to a choice faced by a man before 2 doors,"""The Lady or the Tiger?"""
"Proverbially, it means careful about small sums & reckless with large ones",penny wise and pound foolish
"His song ""Hello Muddah, Hello Fadduh!"" may have been based on the letters his son Robert sent from Camp Champlain",Allan Sherman
"Proverbially, necessity is its mother",invention
The field of this in which Holden Caulfield imagined himself could have been grown for feed,rye
"(Cheryl of the Clue Crew, in ski gear, reports from a snowy spot.)  I'm on Mammoth Mountain, which, like a lot of great California skiing, is in this mountain range",the Sierra Nevada
Presidential retreat once known as Shangri-La,Camp David
"The Province of Granada borders Malaga, Murcia & this body of water",the Mediterranean
"""She is afraid to come out of the water"" because it's what ""she wore for the first time today""",an itsy bitsy teenie weenie yellow polka dot bikini
"For its 20th anniversary edition in 1997, Christina Crawford added 100 pages to this memoir","Mommie, Dearest"
People from the North sow them in spring; Southerners sow them in fall; reckless youths sow wild ones,oats
"(Sarah of the Clue Crew leans against a corral fence in a high, green pasture.)  I'm overlooking Paradise Valley in this state, with a nickname that encourages you to look up",Montana
Place a bet & name this classic heard here,"""Camptown Races"""
This group's nearly 800-year rule of Spain ended when Christian forces took Granada in 1492,the Moors
"This funky guy was ""born in Arizona, moved to Babylonia"" & ""got a condo made a stone-a""",King Tut
"In the Bible, this unfortunate man remarks, ""Naked came I out of my mother's womb""",Job
"Among plants whose seeds are found in these, peas are human food while vetch is fed to animals",pods
"(Jimmy of the Clue Crew stands somewhere with a brightly-lit Eiffel Tower in the background.)  I'm on the street called this, originally named by L.A. ex-cop Guy McAfee, who was reminded of Sunset Boulevard",the Las Vegas Strip
"From the Italian for ""bell"", it's a type of bell tower",campanile
This great Spanish classical guitarist gave his first performance in Granada at the age of 16,Segovia
This 1920s novelty hit supposedly got its title from the confusing statement of a Greek fruit peddler,"""Yes, We Have No Bananas"""
"The painting of ""Whistler's Mother"" is owned by this French art museum that used to be a train station",Musée d'Orsay
"Very young rabbits get the alfalfa type of this cut, dried fodder; then they graduate to timothy",hay
"(Sarah of the Clue Crew stands at the edge of an inviting, palm-enclosed lagoon lined with grass-capped umbrellas.)  On the east coast of this Mexican peninsula, I'm actually due south of Florida",the Yucatan
In 1993 she became the first female director to win the Cannes Film Festival's Palme d'Or,(Jane) Campion
"The ""Court of the Lions"" is the central foundation of this palace fortress found in Granada",the Alhambra
"This title guy said, ""Ooo eee, ooo ah ah, ting tang, walla walla bing bang""",the witch doctor
"In ""The Conduct of Life"", this transcendentalist reminded us, ""Men are what their mothers made them""",(Ralph Waldo) Emerson
This legume that probably originated in Asia is the main source of protein supplements in livestock feed,the soybean
"(Cheryl of the Clue Crew strolls across a college campus.)  I'm on the campus of this university, where over 25 Nobel Prize winners were educated, including Milton Friedman",(the University of) Chicago
"Bill Moyers based ""The Power of Myth"" on his conversations with this man",Joseph Campbell
Granada is in this larger region from which the Spanish spoken in the Americas is largely descended,Andalucia
"The ""Playboy Riots"" took place in this world capital in 1907 following a theatrical premiere",Dublin
"This New York island is divided into 4 counties: Kings, Queens, Nassau & Suffolk",Long Island
"In the American Motorcycles series, here's this type of bike named for the removal of some parts",a chopper
To chew without teeth,gum
"To keep Delaware's capital away from the invading British, it was moved to this city in 1777",Dover
Flash back a few decades with this anthem,"""I Will Survive"""
The one that ends the Bill of Rights,the 10th
Vineyard Sound separates her Vineyard from Cape Cod 4 miles away,Martha's Vineyard
Wonders of America: Land of Superlatives includes these oldest mountains that run from Canada to Alabama,the Appalachians
"""Synch"" it to music to pretend to sing",lip
James Oglethorpe founded Georgia in 1733 as a haven for people in trouble for this back in Britain,debt
"Do U remember ""U Can't Touch This"", ""I Would Die 4 U"" & this Grammy-winning Kelly Clarkson song","""Since U Been Gone"""
1 of the 2 with a due-process clause,the 5th (or the 14th)
"Cape Kumukahi is the easternmost point on this ""Big Island""",Hawaii
4 stamps feature aspects of Ben Franklin; here he is in this job,Postmaster General
To prepare a weapon so that it's ready for use,arm
"In 1868 & again in 1880, he was succeeded as British Prime Minister by William Gladstone",Disraeli
City that's the title of the following,San Francisco
"The one that ends with the word ""infringed""",the 2nd
Some islands in this Utah lake are waterfowl breeding grounds; Antelope Island is used for grazing cattle,the Great Salt Lake
"The longest arm of the law, he's part of a series on DC comics superheroes",Plastic Man
"To do this to ""the line"" is to do what's expected",toe
In 1952 the U.N. started a commission on this to make the world a less lethal place,disarmament
"""Chicago is one town that won't let you down, it's..."" this","""My Kind Of Town"""
It's also called the Susan B. Anthony Amendment,the 19th
"At 9,373 feet, Shishaldin Volcano on Unimak is the highest mountain in this archipelago",the Aleutian Islands
Canada Post is a joint issuer of the stamp commemorating the 400th anniversary of this Frenchman's voyage,Samuel de Champlain
A section of a journey separated from the other sections by a period of rest,leg
"In the 16th century these assemblies of German potentates took place at Speyer, Augsburg & (yummy!) Worms",a diet
This tune was on the soundtrack of the Spike Lee film of the same name,"""Jungle Fever"""
"The ""cruel and unusual punishments"" one",the 8th
This city in Lower Galilee was the hometown of Mary & Joseph,Nazareth
Aaaaaaaaay!!!!  It was the family favorite featuring the Fonz,Happy Days
The difference between the freezing & boiling points of water is 100 on the Kelvin scale & this scale,Celsius
Pain is the French word for this food staple,bread
"""The Exiles"" & ""The Long Rain"" are 2 of 18 stories in this Ray Bradbury collection featuring a tattooed dude",The Illustrated Man
Kennedy's cots,Ted's beds
"Lot fled to Zoar as destruction rained upon Admah, Zeboiim & these 2 cities in the Vale of Siddim",Sodom & Gomorrah
"Now Democratic National Committee chairman, this former pres. candidate appears regularly on ""Meet the Press""",Howard Dean
Geneticists know that human beings typically have 23 pairs of these; fruit flies have only 4 pairs,chromosomes
"In French, this citrus fruit is un pamplemousse",a grapefruit
"In this 1864 Jules Verne novel, explorers descend into an Icelandic volcano & later surface on Stromboli Island",Journey to the Center of the Earth
Biden's pedal digits,Joe's toes
"Samson was imprisoned & died in this Philistine city; today a ""Strip"" is named for it",Gaza
"Say, kids, he was the freckle-faced puppet persona of 1950s TV",Howdy Doody
"(Kelly of the Clue Crew drops a raisin into a glass and watches it bob back up.)  A raisin in soda sinks because it's denser, & it rises because CO2 pockets make it more this, from the Spanish for ""float""",buoyant
Champignon is the French word for an edible one of these,a mushroom
"""Under the Moons of"" this planet, featuring adventurer John Carter, was Edgar Rice Burroughs' 1st published story",Mars
Elizabeth's fishing rods,Dole's poles
"On the road to this city, Paul was struck blind for 3 days; he later preached there",Damascus
"On the Disney Channel, she turned heads as the multi-talented & often animated Lizzie McGuire",Hilary Duff
A litmus test can help you set things on this scale devised by S.P.L. Sorensen,a pH scale
Cotelette d'agneau means cutlets or chops of this meat,lamb
"""The Chronic Argonauts"" was a precursor to this 1895 H.G. Wells novel",The Time Machine
Lautenberg's practical jokes,Frank's pranks
"""And the Lord said unto Joshua, See, I have given unto thine hand"" this city, ""and the king thereof""",Jericho
"Seen here, he was Jack Paar's sidekick on ""The Jack Paar Show""",Hugh Downs
"(Kelly of the Clue Crew shows a diagram of the brain on a monitor.)  Descartes called this gland ""the seat of the rational soul"", & it's named for its pinecone-shaped appearance",the pineal gland
Un oeuf is an egg; this is an eggplant,une aubergine
"In his short story ""The Sentinel"", a mysterious pyramid is found on the Moon, left there by some passing alien civilization",Arthur C. Clarke
Nebraskan Chuck's donut-shaped breakfast rolls,Hagel's bagels
"In literature from the 1200s to today, it has been depicted as a type of dish, a talismanic stone & a woman",the Holy Grail
"His marriages ended in divorce, execution, death, divorce, execution & widowhood",Henry VIII
Catcher Roy Campanella,Brooklyn
Seen here are the world's first leaning high-rise buildings--Puerto de Europa in this country,Spain
A finalist in the 2008 Big Tex Choice Awards was a deep-fried version of this chocolaty campfire treat; who wants another?,s'mores
"The casino so nice they named it twice, this place has room types called the Skyline & Broadway Deluxe",New York New York
This 2-letter conjunction is used to indicate an alternative,or
"At the time of his death, this second leader of the Mormon Church had married 56 women",Brigham Young
Left fielder & first baseman Willie Stargell,Pittsburgh Pirates
Societe Generale bank has built towers in the La Defense section of this city,Paris
"Iowa's hot beef sundae includes a buttery scoop of these, topped with gravy & cheese & garnished with a cherry tomato",mashed potatoes
"Hail, yes!  There's a 4,100-seat Colosseum to showcase acts like Bette Midler & Cher at this casino",Caesars (Palace)
"The dictionary gives 2 meanings for it: an eastern Asian shrub, also the 7th tone of the diatonic scale",ti
This biblical king had 700 wives & 300 concubines; when did he find time to write all those songs?,Solomon
Third baseman Brooks Robinson,the Orioles
"To stop suburban flight, elevator operators' & janitors' unions developed the Marina City Towers in this Midwest city",Chicago
Get 'em while they're hot!  This fried pastry with a cone-shaped utensil in its name is a favorite at state fairs,funnel cake
There's a SpongeBob SquarePants 4-D ride here; still trying to figure out the King Arthur's sword angle on that,Excalibur
"In ""Little Women"" this tomboy wrote plays for her sisters to perform",Jo
Khadijah was this Islamic leader's first wife; after her death he took others,Muhammad
Pitcher Bob Feller,the Cleveland Indians
The Renoir Towers rise over the Rio de la Plata in this South American country,Argentina
"At the California State Fair, a sign for these fried amphibian appendages said, ""Tastes like chicken""",frog legs
Enjoy rock star lemonades & world famous DJs at the rehab poolside party at this hotel,the Hard Rock Hotel & Casino
"The object of this Japanese board game, over 3,000 years old, is to capture territory on a board of intersecting lines",go
"This brutal Ugandan leader had 6 wives, long-serving concubines & a succession of casual mistresses",Idi Amin
Right fielder Al Kaline,the Detroit Tigers
"Seen here are the world headquarters towers (nicknamed ""Debit"" & ""Credit"") for this bank in Frankfurt",Deutsche Bank
"A recent hit at the Florida State Fair was this sweet, crisp & hickory-flavored meat dipped in chocolate",bacon
"Ricky Ricardo is not headlining at this hotel, but you can enjoy ""the Soprano's Last Supper"" with Tony Baritone",the Tropicana
This Irish term for one's father is the title of a 1978 Tony Award-winning play by Hugh Leonard,Da
"Our writers visit search.eb.com, which brings you to the website for this reference work that's been around since 1768",Encyclopedia Britannica
"The circle of Willis, a ring of arteries in this organ, is a fail-safe system to ensure it a steady blood supply",the brain
Johnny Depp got gold caps for his turn as Captain Jack Sparrow in this 2003 film,Pirates of the Caribbean
Wiglaf is a loyal companion of this Anglo-Saxon epic hero,Beowulf
Number of feet in a mile,"5,280"
An expensive sailing vessel used for pleasure,a yacht
"Dating back to the 1920s, this broadcaster precedes .co.uk in a news website",BBC
This 1991 film retold the story of Peter Pan & was named for Peter's pirate nemesis (Dustin Hoffman),Hook
"An American epic, this 1985 Larry McMurtry tale of a cattle drive sweeps from Texas to Montana",Lonesome Dove
Number of U.S. presidents named George,3
A Hebrew name for God,Yahweh
"The online news dispensary called this ""Report"" isn't named for menial work but for its creator Matt",The Drudge Report
Westley (Cary Elwes) becomes the Dread Pirate Roberts & rescues Buttercup (Robin Wright) in this flick,The Princess Bride
"About 1,600 years old, the Mahabharata is an epic written in this language",Sanskrit
Last No. 1 hit for the duo of Simon & Garfunkel,"""Bridge Over Troubled Water"""
"This city of 60,000 southeast of Seattle bears the name of a Native American tribe",Yakima
"4chan.org is a collaborative community known for posting these on the net, usually in .jpeg or .gif form",photographs (or images)
Kevin Kline starred as the pirate king in the film adaptation of this operetta,The Pirates of Penzance
"""Gerusalemme liberata"" depicts these military conflicts that took place 500 years before the work was written",the Crusades
David Obey chairs this U.S. House committee with responsibility for spending,Appropriations
Japanese-style grilled chicken kebabs; yum!,yakitori
In 2000 the website named for this recently used weapon was acquired by Court TV,The Smoking Gun
In a 2004 film Steve the Pirate plays this title sport on Vince Vaughn's Average Joe's team,Dodgeball
"This epic poet was satirized in ancient times with a mock epic called ""Battle of the Frogs and the Mice""",Homer
"It's the better-known name of the ICPO, International Criminal Police Organization",Interpol
"Worn so that only the eyes are visible, it's a traditional veil worn by some Muslim women",a yashmak
"In 2001 Bulgaria elected as prime minister its former child monarch, the only person now living to have held this royal title",czar
A cooking pot for Ma & Pa,Kettle
A bat's hands serve as these,Wings
"In 1935 a young Vincent Price played this royal role on Broadway in ""Victoria Regina""",Prince Albert
"Bernard F. Law, Roger Mahony & John J. O'Connor",Catholic Cardinals
"Its German name means ""flank horn"" or ""wing horn"", from its use in battle",Fluegelhorn
"""In the world nothing is certain but"" these 2 things",Death & Taxes
Thd standard version of this gambling game is a lot like Lotto,Keno
On a true sole both of these are on the right side of the head,Eyes
"Kathleen Turner played the ""passion"" in ""Crimes of Passion"" & he played the psycho",Anthony Perkins
"Mabel Stark, Clyde Beatty & Gunther Gebel-Williams",Lion Tamers/Wild Animal Trainers
The body of this instrument used in minstrel shows is similar to a tambourine,Banjo
"These ""fell great oaks""",Little Srokes
"Its national anthem is ""Wimbo Wa Taifa"", Swahili for ""anthem of the nation""",Kenya
Lizard that's noted for its ability to walk on ceilings,Gecko
"He was Geraldine Page's sweetie in both the Broadway & film versions of ""Sweet Bird of Youth""",Paul Newman
"Anna Beth Sully, Mary Pickford & Lady Sylvia Ashley",Married to Douglas Fairbanks
The double bassoon is also known by this name,Contrabassoon
"Completes his line on the death of Georgiana Shipley's squirrel, ""Here Skugg lies snug...""",As a bug in a rug
"The name of this Wisconsin city is Potawatomi for ""pike"" or ""pickerel""",Kenosha
The South African rhebok is not an athletic shoe but a species of this,Antelope
"This polo-playing Harvard grad played Loretta Lynn's husband in ""Coal Miner's Daughter""",Tommy Lee Jones
"Helen Frankenthaler, Robert Rauschenberg & Roy Lichtenstein",Artists
"Sizes of grand pianos include baby grand, parlor grand & this, the largest",Concert Grand
"""They are so grateful"" was his 8th & last reason for preferring this type of mistress",Older Women
"This county is known as the ""Garden of England""",Kent
"With ancestors as big as elephants, these slow beasts now just hang upside down in trees",Sloths
"He starred in ""Doc"" on TV & ""Da"" on Broadway & in the 1988 film",Barnard Hughes
"Virginia Apgar, Florence Sabin & Helen Brooke Taussig",Doctors/American Women Physicians
The Amati family began making violins in this Italian city in the 1500s,Cremona
"Completes his maxim, ""Some are weather-wise...""","""Some are other-wise"""
"President who said, ""If you don't say anything, you won't be called on to repeat it""",Calvin Coolidge
"Near the end of this play, Theseus says, ""Lovers, to bed; 'tis almost fairy time""","""A Midsummer Night's Dream"""
"During 1989 this landmark sported a brightly lit sign that said ""100 Ans""",The Eiffel Tower
This stalked vegetable is commonly cooked standing up in the pot,Asparagus
Archaeologists learn about a culture by studying broken pieces of earthenware called this,Shards
"The Hotel Rossiya in this foreign capital has 3,200 bedrooms, the most of any hotel in the world",Moscow
He was a Dem. governor during the Kennedy & Johnson years then became Nixon's treasury sec'y,John Connally
This historical play includes the death of Katharine of Aragon,"""Henry VIII"""
"Overlooking the Champs Elysees, its construction was begun by Napoleon & completed by Louis Philippe",Arc de Triomphe
Emily Post says corn should never be served this way at a formal dinner,On the Cob
Early man fashioned this silica rock into sharp tools & weapons; it was later used in firearms,Flint
"At their 1st meeting, Zsa Zsa Gabor told him, ""I theenk I'm going to marry you"" -- & she did",Conrad Hilton
"Michigan gov. who ended his 1968 bid for the presidency after he said he was ""brainwashed"" on Vietnam",George Romney
"Cordelia's 1st words in this play are ""What shall Cordelia speak?  Love, and be silent""","""King Lear"""
"The mysterious ""man in the iron mask"" spent the last 5 years of his life in this prison",The Bastille
A cucumber pickled when it's only 2-3 inches long is called this,Gherkin
"In archaeology, this term refers to any object made by the hand of man",Artifact
"In 1976 ""Legionnaires' Disease"" killed 29 men staying at a hotel in this city",Philadelphia
4-time governor who used the following song in his 1928 presidential campaign:,Alfred E. Smith
Othello kills himself on this island,Cyprus
"The highest elevation in Paris is in this artsy area, home to the church of Sacre Coeur",Montmartre
"Ribbon-shaped noodles, sweet butter, cream, parmesan cheese & black pepper make up this pasta dish",Fettucine Alfredo
One of the largest Roman remains in England is this emperor's 73-mile-long wall of stone & turf,Hadrian
"On November 21, 1980 a fire in this 2,076 room Las Vegas hotel killed 84 & injured hundreds",The MGM Grand
This congressman from Chicago is a 30-year veteran of the House & chairman of the Ways & Means Committee,Dan Rostenkowski
"Ophelia says ""pansies"" are ""for thoughts"", this is ""for remembrance""",Rosemary
"Paris was founded on this island in the Seine, home of Notre Dame Cathedral",Ile de la Cite
"From Italian for ""knot in wood"", it's a dumpling made from flour, semolina or potato starch",Gnocchi
This British earl who financed the King Tut excavation died 9 months before the sarcophagus was found,Lord Caernarvon
Home builder Kemmons Wilson founded the 1st of this chain on Summer Avenue in Memphis in 1952,Holiday Inn
"With over 35,000 miles, this state has the longest highway system in the U.S.",Texas
"An episode of the History Channel's ""Modern Marvels"" featured this landmark seen here: (in San Francisco)",Golden Gate Bridge
"Hits from his 1973 album ""Goodbye Yellow Brick Road"" include the title track & ""Bennie and the Jets""",Elton John
"A combination of ""Nkosi Sikelel' Iafrika"" & ""Die Stem Van Suid Afrika""",South Africa
In April 1999 his net worth hit $100 billion,Bill Gates
"1960: ""Mother -- what's the phrase? -- Isn't quite herself today""",Psycho
"Mode of transportation mentioned in ""Jingle Bells""",Sleigh
"An episode of ""Civil War Journal"" featured this general seen here:",Ulysses S. Grant
"He played a smarmy lawyer in ""Pretty Woman"", but is better-known for his role on ""Seinfeld""",Jason Alexander
"""Inno di Mameli""",Italy
"Worth over $15 billion, Robson, son of Sam, runs this company, the USA's largest private employer",Wal-Mart
"1959 Billy Wilder comedy: ""Well, nobody's perfect""",Some Like it Hot
This item worn by a bride might be fingertip or cathedral length,Veil
It's the historic site seen here: (in San Antonio),The Alamo
"This star of ""Blue Streak"" lay in a coma for 3 days in 1999 after collapsing in near 100-degree heat",Martin Lawrence
"""Land der Berge, Land am Strome""",Austria
The Sultan of Brunei has air-conditioned stables housing his 200 animals for this sport,Polo
"1970: ""I want you to remember that no bastard ever won a war by dying for his country""",Patton
"The chief of an Arab tribe or family, or a film role for Valentino",Sheik
This History Channel host is related to the doctor who set Booth's leg after Lincoln's assassination,Roger Mudd
"Jim Carrey & Jeff Daniels vie for the affection of this actress in ""Dumb & Dumber""",Lauren Holly
"""Himnusz""",Hungary
"With $50,000 of his $30 or so billion, Paul Allen bought a guitar this ""Purple Haze"" star had shattered",Jimi Hendrix
"1975: ""You can't expect to wield supreme executive power just because some watery tart threw a sword at you""",Monty Python and the Holy Grail
"Containing 12 books, it's Virgil's magnum opus","""The Aeneid"""
"Year featured in the episode of ""Year By Year"" seen here: (Berlin Wall erected)",1961
"His hit song ""In Your Eyes"" was used in the movie ""Say Anything...""",Peter Gabriel
"""La Tchadienne""",Chad
"""Direct From"" the Times of London is a quote calling him ""The Avon Lady of the Microchip""",Michael Dell
"1937: ""Either he's dead or my watch has stopped""",A Day at the Races
"In a Poe story, Madame L'Espanaye & her daughter were murder victims on this street",Rue Morgue
In 1938 Vogue showed one of these cinchers as outerwear -- 1938's version of Madonna,Bustier/corset
"This just in to ""Weekend Update"" -- this ""Fall Guy"" was SNL's first breakout star",Chevy Chase
"A source of nutmeg & cloves, the Moluccas are also known by this aromatic name",Spice Islands
This observance always falls 2 days before Easter,Good Friday
Jody named this Steinbeck title creature Gabilan Mountains,"""The Red Pony"""
"In the late '60s this long cover-up with a Turkish name became popular not only for women, but for men, too",Kaftan
"Man oh man, his characters included Operaman & Cajunman",Adam Sandler
"Whether greater or lesser, this group includes all of the West Indies except the Bahamas",Antilles
It's the second most-populous city in Mexico,Guadalajara
"A Frank R. Stockton tale ends with ""Which came out of the opened door, the lady, or"" this",The tiger
In 1999 he pumped up nightclubs with a musical tribute to his hero Frank Sinatra,Joe Piscopo
"Ocean in which you find Comoros, a group of 3 islands that broke from French rule in 1975",Indian Ocean
"Speech on ending his fast, March 10, 1961, Delano, California",Cesar Chavez
The only 1 of the 5 Cities of the Plain in the Bible that fits the category,Gomorrah
"The Edward Everett Hale title character known as this ""Died on board U.S. Corvette Levant""","""The Man Without a Country"" (Philip Nolan)"
"He was ""Berry Berry Good"" as ballplayer Chico Escuela & more recently as Uncle Junior on ""The Jamie Foxx Show""",Garrett Morris
The Admiralty Islands in Papua New Guinea are part of this archipelago named for a German,Bismarck Archipelago
"Farewell address to Congress, April 19, 1951",Douglas MacArthur
"""Our Town"" setting for a ""Sesame Street"" monster",Grover's Corners
"Hazel Morse was her ""Big Blonde""",Dorothy Parker
"It's not Pat but this comic who starred in the one-woman show & movie ""God Said 'Ha!'""",Julia Sweeney
"The year after the atomic test on its Bikini Atoll, this group became a trusteeship of the U.S.",Marshall Islands
"""A Vast Wasteland"", May 9, 1961, Washington, DC",Newton Minow
"It may look like a duck, but this clumsy creature was once thought related to the loon, but that was looney:",Grebe
"In 1933 Marconi set up one of the first microwave radio systems, between Castel Gandolfo & this sovereign state",Vatican City
"In 1806 he published his first lexicographical work, ""A Compendious Dictionary of the English Language""",Noah Webster
Michael Jordan & the Looney Toons play basketball to win their freedom from alien slavers in this 1996 movie,Space Jam
The Creative Labs Nomad Jukebox can store over 100 hours of music in this popular format,mp3
The name of this breed seen here can also mean a person who's a deternined pursuer,bloodhound
The Douglas type of this 3-letter tree is the state tree of Oregon,fir
In 1990 this future Mrs. Alec Baldwin & investors paid $20 million for a GA. town; they sold it in '95 for $4.3 million,Kim Basinger
In October 1804 Lewis & Clark prepared to spend the first winter of their trip near this present-day N.D. capital,Bismarck
"This singer played center fielder Mae Mordabito in ""A League of Their Own""",Madonna
"You have to ""hand"" it to this brand seen here; it's organizing the world",Palm
This term for a small dog held on a seated person's legs also applies to a man who does others' bidding,lapdog
"Rhode Island picked the ""red"" type of this tree; Vermont got the ""sugar"" kind",maple
"To know this singer raised in Star, Mississippi, ""Breathe"" & have faith",Faith Hill
In 1801 Thomas Young found the cause of astigmatism & demonstrated the wave theory of this,light
"In 1995's ""The Big Green"", an underdog team learns to excel at this sport",soccer
This company's I-Zone comes in a color called phat blue,Polaroid
"The type of dog seen here, or a tool used in lectures",pointer
"Delaware chose a type of this tree that's paired with ""the ivy"" in a Christmas song",holly
"Born in D.C. in 1948 but later calling Tennessee home, she nearly became first lady in 2001",Tipper Gore
"In 1804, under Dessalines, this island nation proclaimed itself the first black republic",Haiti
This 1992 film spawned 2 sequels & an NHL team,The Mighty Ducks
The Philips DSR6000 combines a DirecTV receiver with this brand's TV recording system,Tivo
"According to the AKC, a poodle can be no taller than 10"" to compete as this type",toy poodle
"When I think of this state tree of Texas, I get hungry for pralines",pecan
"Born in Miami in 1938, she was the first woman appointed U.S. attorney general",Janet Reno
"On August 3, 1807 his treason trial began in Virginia; he was acquitted on September 1",Aaron Burr
"This movie about a hoop-shooting hound was followed by a sequel subtitled ""Golden Receiver""",Air Bud
"The device seen here, it wirelessly connects your Apples",Airport
"You could say, ""You're the dog now, man"" to King Charles II, for whom a small breed of this dog was named",spaniel
"I'd like to dance the Charleston under this Palmetto State's state tree, the palmetto",South Carolina
"Born in Tuscumbia, Alabama on June 27, 1880, she lost her sight & hearing by age 1 1/2",Helen Keller
"Lying on the east bank of the Nile, Tahrir Square is the center of this capital's downtown",Cairo
"""I'd rather be dead than singing Satisfaction when I'm 45"", said this band's Mr. Jagger, grandfather of 2",The Rolling Stones
Sonya is a kittenish 15-year-old introduced in book 1 of this long Tolstoy novel,"""War and Peace"""
"Before TV, CBS started in this medium",radio
"In the 1600s William Harvey dissected Sir Froggie to write ""On the Motion of the Heart and"" this substance",Blood
"Spelled one way, it's a strong ache; spelled another, a sheet of glass in a window",pain/pane
This Algerian port's old city is dominated by the Casbah,Algiers
"JFK was president when this California band hit the charts for the first time with ""Surfin' Safari""",The Beach Boys
"In ""Out of the Dust"", Billie Jo relates the story of life in this state's Panhandle during the Dust Bowl years",Oklahoma
"Gratuitous violence isn't seen on this network, so Oscar won't be beating the stuffing out of Grover",PBS
"In Froggie's skull, you'll find the olfactory nerve that helped him smell & this main nerve that helped him see",optic nerve
The name of this cap worn on graduation sounds like something used by bricklayers,mortarboard
The first recorded eruption of this Sicilian volcano occurred in about 1500 B.C.,Mount Etna
These rockers led by Steven Tyler have been together (on & off) for 31 years,Aerosmith
"The 5-letter title of this 1999 novel refers to what Melinda, the traumatized heroine, is unable to do",speak
"Since 1996 the Walt Disney Company has owned this ""Alphabet Network""",ABC
"Type of ""cord"" & (in males only) of ""sac"" that lets the frog croak",vocal
The 2-letter term for a medical prescription; it also means a remedy or cure,Rx
"The westernmost of Canada's prairie provinces, it produces most of the country's crude oil & natural gas",Alberta
"'N Sync's Justin Timberlake was born in 1981, 10 years after this band's Jim Morrison died",The Doors
"A shy teenager named Charlie is the hero of ""The Perks of Being"" this kind of ""flower""",a Wallflower
"In July 2000 this network announced that the ""United"" in its name would get a smackdown",UPN (United Paramount Network)
This tube leading from mouth to stomach is where flies pass through after Froggie catches them,esophagus
Add 1 letter to a timepiece to get this word for a sample piece of cloth (it's also a brand of timepiece),swatch
"This ""saintly"" island of Napoleon's death was named for Constantine the Great's mother",St. Helena
"He's the teen heard here in a song released just months before his death  ""Para bailar la bamba, para bailar la bamba, se necesita una...""",Ritchie Valens
This novel tells us that 16-year-old Esmeralda can dance with rotating swords balanced on her forehead,"""The Hunchback of Notre Dame"""
"This network isn't named for an animal, but for a businessman who died in 1952",Fox
"You'll note that the frog's heart has 2 atria, like yours, but just 1 of this chamber",ventricle
"This 5-letter prefix meaning ""sun"" can precede centric or sphere",helio
In 1850 it was the name of the party of the British prime minister & of the U.S. president,the Whig Party
"At an Oxford, England track meet on May 6, this distance was covered in a record 3:59.4 seconds",Mile
It's the generic term for pink or blush wines,Rose
"John Paul II visited this U.S. city in August of 1993, & President Clinton visited him there",Denver
"Ringo & this Beatle joined George on the single ""All Those Years Ago""",Paul McCartney
"These cheetah features are not retractile, unlike those of other big cats",Claws
It's what you call the punched holes on a sheet of postage stamps,Perforations
"On April 1, the Senate voted to grant simultaneous statehood to these two territories",Alaska & Hawaii
A Bloody Maria is the same as a Bloody Mary except it has tequila instead of this liquor,Vodka
"Like this immediate predecessor, John Paul II declined coronation",John Paul I
"Ringo Starr was born with this name on July 7, 1940 in Liverpool",Richard Starkey
"Of the ant bear, the sloth bear or the koala bear, the only one that really belongs to the bear family",Sloth bear
"It can describe a row of bushes that form a border, or it can mean to stall, as if hiding behind one",Hedge
This Indian prime minister called for a cease-fire in Indochina,Jawaharlal Nehru
"Distilled in Kentucky, Jim Beam is a brand of this",Bourbon
"On October 2, 1979 at this New York site, he asked, ""Are the children to receive the arms race from us?""",United Nations
"George said this song was inspired by ""O Happy Day"", but others suggest ""He's So Fine""",My Sweet Lord
This term for the hair below a Clydesdale's knees is the same as the word for a bird's plumage,Feathers
This synonym for dunce originally referred to the piece of wood on which hats & wigs were made,Blockhead
"On January 21, Ike turned in a budget with a projected $2.9 billion deficit, & Mamie launched this sub",Nautilus
"Traditionally, the 2 ingredients that make a drink a flip are sugar & this",Egg
In 1964 he was promoted from auxilliary bishop to archbishop of this Polish city,Krakow
"For Ringo, it was Ring-O; for George, Dark Horse",Names of their respective record labels
Some of these two-humped camels still roam the Gobi Desert,Bactrian camels
"Term for the partial story between 2 main stories of a building, or, a low balcony in some theatres",Mezzanine
He retired at 87 as conductor of the NBC Symphony Orchestra,Arturo Toscanini
This green melon-flavored liqueur from Japan sometimes is used to make a margarita,Midori
He visited this Haitian neighbor in 1992 in celebration of Columbus' visit there 500 years earlier,Dominican Republic
George & Ringo co-wrote this song that Ringo took to No. 1 in 1973,Photograph
The long flap of skin that hangs beneath the throat of this largest deer is called a bell,Moose
